vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
VTS,2011-05-15 21:18:00,2011-05-15 21:34:00,1,4.12,-73.84443,40.729727,1,,-74.00584999999998,40.716375,CSH,12.9,0.5,0.5,0.0,0.0,13.9
CMT,2011-05-13 09:41:16,2011-05-13 09:50:38,2,0.4,-73.991009,40.764345,1,N,-73.984679,40.763225,CRD,6.1,0.0,0.5,1.0,0.0,7.599999999999999
CMT,2011-05-13 09:54:10,2011-05-13 10:31:41,1,16.9,-73.98374099999998,40.738087,2,N,-73.77629,40.645764,CRD,45.0,0.0,0.5,5.0,4.8,55.3
CMT,2011-05-13 09:53:34,2011-05-13 10:00:42,2,1.0,-73.979318,40.747332,1,N,-73.97194899999998,40.757777,CRD,5.7,0.0,0.5,1.0,0.0,7.2
CMT,2011-05-13 09:56:15,2011-05-13 10:06:34,1,1.2,-74.000012,40.727137,1,Y,-74.00883899999998,40.715316,CRD,6.9,0.0,0.5,1.48,0.0,8.88
CMT,2011-05-14 15:09:21,2011-05-14 15:17:49,1,2.0,-73.962233,40.770162,1,N,-73.981043,40.744631,CRD,7.3,0.0,0.5,1.1,0.0,8.9
CMT,2011-05-14 15:00:02,2011-05-14 15:00:17,1,6.3,0.0,0.0,2,N,0.0,0.0,CRD,45.0,0.0,0.5,5.0,4.8,55.3
VTS,2011-05-15 12:50:00,2011-05-15 12:59:00,1,1.3,-73.988065,40.731962,1,,-74.004542,40.728532,CSH,6.9,0.0,0.5,0.0,0.0,7.4
CMT,2011-05-13 04:09:12,2011-05-13 04:25:20,1,5.2,-73.954678,40.773789,1,N,-73.90599,40.775131,CRD,14.9,0.5,0.5,2.0,0.0,17.9
VTS,2011-05-15 12:46:00,2011-05-15 12:59:00,1,2.52,-73.98640299999998,40.756675,1,,-73.98739999999998,40.728953,CSH,9.3,0.0,0.5,0.0,0.0,9.8
VTS,2011-05-15 12:56:00,2011-05-15 13:01:00,1,0.97,-73.975088,40.75336,1,,-73.982905,40.758663,CRD,4.9,0.0,0.5,4.0,0.0,9.4
CMT,2011-05-12 19:47:49,2011-05-12 20:07:50,1,2.4,-73.980278,40.761826,1,N,-73.987488,40.732995,CRD,11.7,1.0,0.5,1.0,0.0,14.2
CMT,2011-05-12 19:49:46,2011-05-12 20:02:03,1,1.9,-74.00739,40.7266,1,N,-73.97929,40.727691,CRD,8.9,0.5,0.5,1.98,0.0,11.88
VTS,2011-05-15 12:49:00,2011-05-15 12:56:00,1,1.46,-74.001385,40.756717,1,,-73.995805,40.744275,CSH,6.5,0.0,0.5,0.0,0.0,7.0
CMT,2011-05-13 04:11:14,2011-05-13 04:20:11,1,2.4,-74.005103,40.741065,1,N,-73.97878,40.761483,CRD,8.5,0.5,0.5,1.0,0.0,10.5
CMT,2011-05-13 03:56:51,2011-05-13 04:02:32,1,1.4,-73.999223,40.728447,1,N,-73.98370199999998,40.738031,CRD,6.1,0.5,0.5,1.0,0.0,8.099999999999998
